KI,Kishanganj,Kishanganj,"1,690,948","1,884",898
LA,Lakhisarai,Lakhisarai,"1,000,717","1,229",815
MP,Madhepura,Madhepura,"1,994,618","1,787","1,116"
MB,Madhubani,Madhubani,"4,476,044","3,501","1,279"
MG,Munger,Munger,"1,359,054","1,419",958
MZ,Muzaffarpur,Muzaffarpur,"4,778,610","3,173","1,506"
NL,Nalanda,Bihar Sharif,"2,872,523","2,354","1,220"
NW,Nawada,Nawada,"2,216,653","2,492",889
PA,Patna,Patna,"5,772,804","3,202","1,803"
PU,Purnia,Purnia,"3,273,127","3,228","1,014"
RO,Rohtas,Sasaram,"2,962,593","3,850",763
SH,Saharsa,Saharsa,"1,897,102","1,702","1,125"
SM,Samastipur,Samastipur,"4,254,782","2,905","1,465"
SR,Saran,Chhapra,"3,943,098","2,641","1,493"
SP,Sheikhpura,Sheikhpura,"634,927",689,922
SO,Sheohar,Sheohar,"656,916",443,"1,882"
ST,Sitamarhi,Sitamarhi,"3,419,622","2,199","1,491"
SW,Siwan,Siwan,"3,318,176","2,219","1,495"
SU,Supaul,Supaul,"2,228,397","2,410",919
VA,Vaishali,Hajipur,"3,495,021","2,036","1,717"
WC,West Champaran,Bettiah,"3,935,042","5,229",753
Chandigarh (CH)[edit],State,,,,
CH,Chandigarh,Chandigarh,"1,054,686",114,"9,252"
Chhattisgarh (CG)[edit],State,,,,
Not Yet Assigned,Balod,Balod,"826,165","3,527",234
Not Yet Assigned,Baloda Bazar,Baloda Bazar,,,
Not Yet Assigned,Balrampur,Balrampur,"598,855","3,806",157
BA,Bastar,Jagdalpur,"1,302,253","4,030",87
Not Yet Assigned,Bemetara,Bemetara,"197,035","2,855",69
BJ,Bijapur,Bijapur,"229,832","6,562",35
BI,Bilaspur,Bilaspur,"1,961,922","5,818",337
DA,Dantewada,Dantewada,"533,638","3,411",59
DH,Dhamtari,Dhamtari,"799,199","2,029",394
DU,Durg,Durg,"3,343,079","8,542",391
Not Yet Assigned,Gariaband,Gariaband,,,
JC,Janjgir-Champa,Naila Janjgir,"1,620,632","3,848",421
JA,Jashpur,Jashpur Nagar,"852,043","5,825",146
KW,Kabirdham (Kawardha),Kawardha,"584,667","4,237",195
KK,Kanker,Kanker,"748,593","6,513",115
Not Yet Assigned,Kondagaon,Kondagaon,,,
KB,Korba,Korba,"1,206,563","6,615",183
KJ,Korea,Baikunthpur,"659,039","6,578",100
MA,Mahasamund,Mahasamund,"1,032,275","4,779",216
Not Yet Assigned,Mungeli,Mungeli,,,
NR,Narayanpur,Narayanpur,"140,206","6,640",20
RG,Raigarh,Raigarh,"1,493,627","7,068",211
RP,Raipur,Raipur,"4,062,160","13,083",310
RN,Rajnandgaon,Rajnandgaon,"1,537,520","8,062",191
SK,Sukma,Sukma,"249,000","5,636",49
SJ,Surajpur,Surajpur,"660,280","6,787",150
SJ,Surguja,Ambikapur,"420,661","3,265",150
Dadra and Nagar Haveli (DN)[edit],State,,,,
DN,Dadra and Nagar Haveli,Silvassa,"342,853",704,698
Daman and Diu (DD)[edit],State,,,,
DA,Daman,Daman,"190,855",72,"2,651"
DI,Diu,Diu,"52,056",40,"1,301"
Delhi (DL)[edit],State,,,,
CD,Central Delhi,Daryaganj,"578,671",25,"23,149"
ED,East Delhi,Preet Vihar,"1,707,725",440,"26,683"
ND,New Delhi,Connaught Place,"133,713",22,"3,820"
NO,North Delhi,Sadar Bazaar,"883,418",59,"14,973"
NE,North East Delhi,Shahdara,"2,240,749",52,"37,346"
NW,North West Delhi,Kanjhawala,"3,651,261",130,"8,298"
Not Yet Assigned,Shahdara,Shahdara,,,
SD,South Delhi,Saket,"2,733,752",250,"10,935"
Not Yet Assigned,South East Delhi,Defence Colony,,,
SW,South West Delhi,Vasant Vihar,"2,292,363",395,"5,445"
WD,West Delhi,Rajouri Garden,"2,531,583",112,"19,625"
Goa (GA)[edit],State,,,,
NG,North Goa,Panaji,"817,761","1,736",471
SG,South Goa,Margao,"639,962","1,966",326
Gujarat (GJ)[edit],State,,,,
AH,Ahmedabad,Ahmedabad,"7,208,200","8,707",890
AM,Amreli,Amreli,"1,513,614","6,760",205
AN,Anand,Anand,"2,090,276","2,942",711
AR,Aravalli,Modasa,"1,051,746","3,217",327
BK,Banaskantha,Palanpur,"3,116,045","12,703",290
BR,Bharuch,Bharuch,"1,550,822","6,524",238
BV,Bhavnagar,Bhavnagar,"2,877,961","11,155",288
BT,Botad,Botad,"656,005","2,564",256
CU,Chhota Udepur,Chhota Udepur,"1,071,831","3,237",331
DA,Dahod,Dahod,"2,126,558","3,642",582
DG,Dang,Ahwa,"226,769","1,764",129
DD,Devbhoomi Dwarka,Khambhalia,"752,484","5,684",132
GA,Gandhinagar,Gandhinagar,"1,387,478",649,660
GS,Gir Somnath,Veraval,"1,217,477","3,754",324
JA,Jamnagar,Jamnagar,"2,159,130","14,125",153
JU,Junagadh,Junagadh,"2,742,291","8,839",310
KH,Kheda,Nadiad,"2,298,934","4,215",541
KA,Kutch,Bhuj,"2,090,313","45,652",46
MH,Mahisagar,Lunavada,"994,624","2,500",398
MA,Mehsana,Mehsana,"2,027,727","4,386",462
